Type,TypeEn,Message,Cost,Value,Icon,Choice1,Choice2
Συμφωνία,Deal,Αγορά Αυτοκινήτου σε τιμή ευκαιρίας,7000,10000,car.png,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά i-phone από Ιαπωνία,500,700,iphone.png,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Αμπελιού,3000,5000,ampeli.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Μηχανής,4000,7000,honda.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Playstasion 4 από Κορέα,200,400,ps4.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Ταχύπλοου,5000,9000,taxyploo.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Εισιτηρίου VIP για τον τελικό του Champions League,700,1400,chl.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Εισιτηρίου για την συναυλία των Iron Maiden,200,500,maiden.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Macbook aπό το eBay,1000,1700,laptop.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Χρυσού Ρολογιού,2000,4000,watch.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Επαγγελματικής Φωτογραφικής Μηχανής,1200,2000,camera.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Ελαιόλαδου,1500,3000,elaiolado.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Σκύλου Yorkshire Terrier,250,550,terrier.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Μετοχών στο Facebook,1000,2000,facebook.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Οικοπέδου στο Ελαφονήσι,12000,21000,elafonisi.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Συλλεκτικής Κιθάρας,3000,6000,guitar2.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Καταστήματος στο Talos Plaza,10000,18000,talos.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Εισητηρίου για τον τελικό του NBA,900,1800,nba.jpg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Σπάνιας Γάτας,700,1200,spania.jpeg,Αγόρασε,Αγνόησε τη Συμφωνία
Συμφωνία,Deal,Αγορά Ζαχαροπλαστείου,5000,9500,zaxar.jpg,Αγόρασε,Αγνόησε τη Συμφωνία